product_name,product_category,review_size,type,content,review,stars
Samsung A-3000,AIR_CONDITIONER,Long,Positive,['Price' 'Product appearance' 'Delivery'],"I was pleasantly surprised by the whole experience, starting with the price – it was significantly lower than other comparable models I was looking at. The unit itself looks really sleek and modern; it's a nice addition to the living room and doesn't stick out like some bulky air conditioners do. The delivery was also incredibly smooth. They called ahead to confirm a time slot, and the delivery guys were professional and even took care of the old unit. Honestly, I was a little worried about the quality given the price point, but so far, it's been fantastic. My only minor gripe is that the remote feels a little cheap, but that's a small detail compared to everything else. It's really made a difference in keeping the house cool during this heatwave, and I'd definitely recommend it to anyone looking for a budget-friendly and stylish cooling solution. It's a fantastic value for the money, and the ease of delivery just sealed the deal for me.",4
GE M-5000,MICROWAVE,Medium,Negative,['Price'],"I really wanted to love this microwave, and it does look sleek in my kitchen. However, I was absolutely shocked by the price! It's significantly more expensive than comparable models with similar features, and I'm not sure the build quality justifies the extra cost. I feel like I overpaid, and honestly, I'm a little disappointed.",2
Kenmore A-1600,AIR_CONDITIONER,Long,Negative,['Functionality'],"I'm really disappointed with this air conditioner. I was so excited to finally get some relief from the summer heat, but it just hasn't been working as it should. It struggles to cool even a small room, and the temperature fluctuates wildly – one minute it's freezing, the next it's like nothing's on at all. I've tried adjusting the settings, cleaning the filters, and everything the manual suggests, but nothing seems to make a difference. It's incredibly frustrating, especially given how much I paid for it. Honestly, I’m starting to think it’s just a faulty unit, and the constant back-and-forth with customer service hasn't helped matters. While the design is sleek and it *looks* nice, that's about the only positive thing I can say. I'm seriously considering returning it, which is a huge hassle, but I can't keep dealing with this unreliable performance. It feels like a waste of money and a major inconvenience.",1
Toshiba M5-750,REFRIGERATOR,Medium,Positive,['Product appearance' 'Price' 'Delivery'],"I was pleasantly surprised by how stylish this refrigerator looks! The stainless steel finish really elevates my kitchen's aesthetic, and it seemed well-packaged for delivery. While the delivery itself was a bit delayed, the team was incredibly careful bringing it in and ensuring it was level – a small inconvenience for such a beautiful appliance and a fair price point.",4
West Elm S-2600,SOFA,Small,Positive,['Price' 'Functionality' 'Delivery'],"The delivery was surprisingly smooth and efficient, arriving earlier than initially estimated and with the delivery team being incredibly helpful in getting the sofa into my apartment – a real relief!",5
Philips C1-900,REFRIGERATOR,Small,Negative,['Delivery'],"The delivery was a complete disaster; they arrived three hours late and scratched the appliance during unloading, which is incredibly frustrating.",1
Kenmore W-1600,WASHING_MACHINE,Long,Positive,['Price'],"I've been shopping around for a new washing machine for months, and honestly, the prices these days are just outrageous! I was really starting to feel like I'd have to settle for something flimsy and unreliable just to stay within my budget. Then I found this one, and I couldn't believe the price. It's significantly cheaper than any other machine with comparable features and a decent reputation. I know, you get what you pay for, but I've been really impressed so far. It's got all the cycles I need, it's surprisingly quiet, and it seems to clean my clothes really well. I was a little hesitant at first, thinking there had to be a catch, but after a month of use, I'm completely satisfied. It's a fantastic value for the money, and I would absolutely recommend it to anyone looking for a reliable washing machine without breaking the bank. I'm honestly shocked at how well it performs for the price point. It's a real steal!",5
Whirlpool W-4000,WASHING_MACHINE,Medium,Positive,['Price' 'Functionality'],"I was really surprised at how affordable this washing machine was, especially considering all the features it offers. It's been a fantastic performer so far; the different cycles handle everything from delicate sweaters to heavily soiled work clothes with ease. I was a little hesitant about the price being so low, but the functionality has exceeded my expectations and it’s honestly been a great purchase for my family.",4
Ashley T-700,TABLE,Small,Negative,['Functionality'],"I was really hoping this table would be a simple, sturdy addition to my dining room, but the wobbliness makes it almost unusable without constant adjustments, which is incredibly frustrating.",1
Frigidaire F4-550,REFRIGERATOR,Small,Negative,['Product appearance'],"I was really disappointed with the finish on this refrigerator; it's not the sleek, modern look I was expecting and seems quite prone to showing fingerprints.",2
IKEA C-300,CHAIR,Small,Positive,['Product appearance' 'Delivery'],The chair looks fantastic and the delivery was surprisingly quick and easy!,5
KitchenAid K7-800,REFRIGERATOR,Long,Negative,['Product appearance' 'Delivery'],"I'm incredibly disappointed with the entire experience of getting this refrigerator. Let's start with the delivery – it was an absolute nightmare. The delivery team was late, didn't communicate any delays, and when they finally arrived, they scratched the stainless steel finish during the move. They were careless and seemed rushed, offering a cursory apology before leaving. Then there's the appearance itself. The photos online made it look sleek and modern, but the actual finish is fingerprint-prone and the stainless steel doesn't match other appliances in my kitchen. It's a different shade, which is jarring and frankly, looks cheap. I understand that manufacturing variations can happen, but this is a significant difference. I’ve tried to clean it multiple times, but the scratches remain visible. Honestly, I'm considering returning it, but the hassle of another delivery and potential further damage is making me hesitate. The whole process has been incredibly stressful and the product itself doesn't live up to the premium image it projects. I'm really regretting this purchase and the lack of care shown throughout the entire process.",1
Haier W-1100,WASHING_MACHINE,Long,Negative,['Price' 'Delivery' 'Product appearance'],"Honestly, I'm so frustrated with this whole experience. Let's start with the price – it felt reasonable enough when I was browsing online, but after all the hidden fees and delivery charges, it ended up being significantly more than I anticipated. Then there's the delivery itself; it was a complete mess. They were supposed to call before arriving, but they didn't, and the delivery guys practically dumped the washing machine in my hallway, scratching the floor in the process. And the appearance? It's just... cheap. The plastic feels flimsy, and the overall design is bland and uninspired. I was hoping for something that would at least look decent in my laundry room, but this just feels like a budget appliance. I understand it's not the most expensive model on the market, but the combination of the inflated price, the terrible delivery, and the underwhelming appearance makes me question my purchase entirely. I’m really regretting not doing more research before committing to this. It's functional, I suppose, but the negative aspects outweigh any potential positives. I'm seriously considering returning it.",1
KitchenAid W-1400,WASHING_MACHINE,Medium,Negative,['Functionality' 'Product appearance' 'Price'],"I was really excited about this washing machine, especially given the price point, but I've been incredibly disappointed with its functionality. It claims to have various cycles, but several haven't worked as described, leaving clothes either soaking wet or barely washed. The aesthetic is nice, I'll give it that - it looks great in my laundry room - but a pretty appliance that doesn't clean your clothes effectively isn't worth the money. Honestly, I'm considering returning it.",2
Kenmore M-1600,MICROWAVE,Long,Negative,['Price' 'Delivery'],"Honestly, I'm incredibly frustrated with the entire experience of getting this microwave. The price itself was a bit of a shock – significantly higher than I'd anticipated for a basic appliance, but I was willing to overlook that if the delivery was handled well. That's where things completely fell apart. The estimated delivery window was a week out, which felt long, but I accepted it. Then, the day before the scheduled delivery, I received a notification that it was being pushed back another two days! No explanation, no apology, just a sudden change. When it finally arrived, the delivery person practically dumped it on my porch and left without even a signature confirmation. The box was visibly damaged, and while the microwave itself seems okay, the whole process has left me feeling incredibly undervalued as a customer. I understand things can go wrong, but the lack of communication and the careless delivery are simply unacceptable, especially considering the premium price tag. I’m seriously reconsidering whether I’ll be purchasing any more appliances from this retailer.",1
LG A-2000,AIR_CONDITIONER,Small,Negative,['Delivery'],The delivery was a complete disaster; they were three days late and left the unit outside in the rain without even notifying me.,1
Toshiba M5-750,REFRIGERATOR,Medium,Negative,['Price' 'Functionality' 'Product appearance'],"Honestly, I'm pretty disappointed with this refrigerator. The price was significantly higher than comparable models, and for what I paid, I expected a lot more. The stainless steel finish looks cheap and attracts fingerprints like crazy – it's a constant battle to keep it clean, which is frustrating. The internal layout also feels cramped, and some of the features just don't work as smoothly as they should. It’s not a complete disaster, but it definitely doesn't live up to the hype or the cost.",2
Ashley C-800,CHAIR,Small,Positive,['Functionality'],"It's surprisingly comfortable and supportive for long periods, which is exactly what I needed for my home office.",4
Haier M-1100,MICROWAVE,Medium,Negative,['Delivery' 'Functionality' 'Product appearance'],"Honestly, I'm pretty disappointed with this microwave. The delivery was a complete mess – it arrived a week late and the box was visibly damaged, which made me nervous about the appliance itself. While it does technically heat food, the functionality feels clunky and slow; it takes forever to defrost anything, and the buttons are unresponsive at times. I was hoping for a sleek, modern look, but the appearance is rather cheap and plasticky, not what I expected for the price.",2
Whirlpool TQ-500,REFRIGERATOR,Medium,Negative,['Product appearance'],"Honestly, I was really disappointed with the look of this refrigerator. The stainless steel finish is fingerprint and smudge magnet – it looks messy constantly, even after wiping it down. It’s a shame because otherwise, it seemed like a good option, but the appearance is just a constant source of frustration.",2
Wayfair C-1300,CHAIR,Small,Positive,['Functionality'],"This chair is surprisingly sturdy and comfortable for everyday use, making it a great addition to my home office – I was initially worried about its stability, but it holds up really well.",4
Toshiba W-1000,WASHING_MACHINE,Long,Negative,['Functionality' 'Product appearance' 'Price'],"Honestly, I'm incredibly disappointed with this washing machine. I was really hoping for something reliable, especially given the price point, but it's been a constant source of frustration. The functionality is just baffling – the cycles take forever, and it doesn’t seem to actually clean the clothes properly. I’ve had to rewash loads multiple times, which is a huge waste of water and energy. The design itself isn't terrible, it's a fairly standard white box, but the cheap plastic components really cheapen the overall look and feel. It just doesn’t feel like a premium product, and for the money I paid, I expected so much better. I've tried troubleshooting everything I can find online, but nothing seems to fix the issues. It’s a massive letdown, and I'm seriously considering returning it, even though that's a hassle in itself. I wouldn’t recommend this to anyone looking for a reliable and efficient washing machine. The price simply doesn’t justify the poor performance and questionable build quality.",1
Siemens M-1900,MICROWAVE,Small,Negative,['Product appearance' 'Delivery' 'Functionality'],"The microwave's design feels cheap and flimsy, and the delivery was a complete mess – it arrived with a noticeable dent, which is incredibly frustrating for a product in this price range.",2
Smeg A-1300,AIR_CONDITIONER,Long,Positive,['Functionality'],"I've been using this air conditioner for a few weeks now, and I have to say, I'm incredibly impressed with its functionality. Initially, I was a little concerned about the slightly higher price point compared to other models, but honestly, the performance has completely justified the investment. It cools my living room incredibly quickly, even on the hottest days, and the different modes – fan only, cool, dehumidify – are genuinely useful. I especially appreciate the quiet operation; it's barely noticeable even when running on the higher settings, which is a huge relief compared to my previous unit. The remote is intuitive and easy to use, and the timer function has been a lifesaver for energy saving. There's a slight learning curve to understanding all the settings, but the manual is clear and concise. While the design is undeniably stylish, it's the consistent and powerful cooling that truly sets this unit apart – it’s a fantastic piece of kit and I’d highly recommend it to anyone looking for a reliable and efficient air conditioning solution.",5
Siemens A-1900,AIR_CONDITIONER,Medium,Negative,['Delivery' 'Price' 'Functionality'],"Honestly, I'm pretty disappointed with this purchase. The delivery was a complete nightmare – it was supposed to arrive within a week, but it took nearly two weeks to show up, and the communication from the company was terrible. And for the price, I expected a lot more; it feels overpriced for what you get, and the functionality isn't as smooth or efficient as I'd hoped. It's not terrible, but it's certainly not worth the hassle or the money.",2
Electrolux A-1200,AIR_CONDITIONER,Medium,Positive,['Functionality' 'Price'],"I was a little hesitant to buy this air conditioner given some of the online chatter, but I'm so glad I took the plunge! It cools my living room incredibly quickly, and the energy efficiency is a huge plus. Honestly, for the price, you can't beat the functionality you're getting – it's a real workhorse. I was expecting something a bit louder, but it's surprisingly quiet on the lower settings. It's not perfect, the remote feels a little cheap, but overall, a fantastic value.",4
Wayfair C-1300,CHAIR,Medium,Positive,['Product appearance' 'Delivery'],"I was really impressed with how this chair looks! The color is exactly as pictured online, and it's a beautiful addition to my dining room. The delivery was surprisingly quick too; I was expecting to wait a week, but it arrived within just a few days. While the packaging was a little beat up when it arrived, the chair itself was perfectly fine, so I can't really complain.",4
Daewoo A-1700,AIR_CONDITIONER,Small,Positive,['Product appearance'],I was pleasantly surprised by how sleek and modern this air conditioner looks – it really blends well with my decor and doesn't feel bulky at all.,4
Siemens S2-500,REFRIGERATOR,Medium,Negative,['Product appearance'],"Honestly, I was really disappointed with the aesthetics of this refrigerator. The stainless steel finish looks cheap and attracts fingerprints like crazy – it’s a constant battle to keep it clean. It just doesn't have the premium feel I was expecting for the price point, and it clashes with the rest of my kitchen appliances. I'm giving it two stars because it does cool things, but the appearance is a major letdown.",2
GE M-5000,MICROWAVE,Medium,Positive,['Price'],"I was really surprised at how affordable this microwave is! It's got all the basic functions I need, and the price point just couldn't be beat. Honestly, I was expecting something a little cheaper to cost significantly more, but this one is a great value for the money.",4
Smeg M-1300,MICROWAVE,Small,Positive,['Functionality' 'Price'],"For the price, this microwave's functionality is surprisingly good – it heats food evenly and has a few handy features I didn't expect.",4
LG W-2000,WASHING_MACHINE,Long,Positive,['Functionality'],"I've been using this washing machine for about six months now, and I have to say, I'm incredibly impressed with its functionality. Initially, I was a little hesitant about the steam cycles – I wasn't sure if they'd be worth the extra energy usage. However, they've proven to be a game-changer, especially for my kids' clothes which tend to get pretty messy! The stain removal is fantastic; things that I've previously had to hand-wash have come out sparkling clean. The different wash programs are also a huge plus – from delicate silks to bulky comforters, it handles everything with ease. I also appreciate the quiet operation; it's significantly quieter than my previous machine, which is a blessing for my apartment. There's a slight learning curve with some of the more advanced features, but the manual is well-written and easy to follow. Honestly, I wish I'd upgraded sooner; it’s made laundry day so much less of a chore. The only minor niggle is the detergent dispenser – it can sometimes be a little tricky to get the right amount, but that's a small price to pay for such a well-performing machine.",5
West Elm T-2700,TABLE,Small,Positive,['Delivery' 'Product appearance' 'Functionality'],"The table arrived surprisingly quickly and was exceptionally well-packaged, and I absolutely love the clean, modern aesthetic – it’s exactly what I was hoping for to elevate my dining room!",5
Ashley C-800,CHAIR,Medium,Positive,['Price' 'Product appearance'],"I was pleasantly surprised by how good this chair looks for the price! It really elevated the aesthetic of my home office, and the color is even more vibrant in person than it appeared online. While the assembly wasn't the easiest, the final product is well worth the effort, and I feel like I got an incredible deal.",4
Toshiba M-1000,MICROWAVE,Long,Positive,['Price'],"I've been searching for a decent microwave for a while now, and honestly, I wasn't expecting much at the price point I was aiming for. I've bought cheaper appliances in the past that just didn't last, or didn't heat evenly, which is a huge frustration when you're just trying to quickly reheat leftovers or pop some popcorn. This one, though, has completely surprised me! The value for the money is absolutely incredible. It's not fancy, it doesn't have a ton of bells and whistles, but it does exactly what it's supposed to do, and it does it well. I was initially worried about the build quality given the low price, but it feels surprisingly sturdy and well-made. I've had it for a couple of months now and it's been working perfectly. I've even had a few friends over who were impressed with how well it performs for the price. Honestly, if you're on a budget and need a reliable microwave, you can't really go wrong with this one. It's a fantastic deal and I'd definitely recommend it to anyone looking for an affordable option.",5
West Elm T-2700,TABLE,Medium,Negative,['Delivery' 'Price'],"Honestly, I'm pretty disappointed with this purchase. The table itself looks nice, but the delivery was an absolute nightmare – weeks late and with zero communication about delays. And for the price, I expected a much smoother experience; it feels like I paid a premium for terrible service.",2
LG W-2000,WASHING_MACHINE,Medium,Positive,['Product appearance' 'Price' 'Delivery'],"I was pleasantly surprised by how stylish this washing machine is! It really brightened up my laundry room, and the delivery was incredibly smooth – the guys were friendly and efficient, even managing to navigate the narrow staircase. For the price, you can't really argue with the value and the aesthetic appeal is a big bonus.",4
