product_name,product_category,review_size,type,content,review,stars
Bosch W-6000,WASHING_MACHINE,Small,Positive,['Price' 'Product appearance' 'Delivery'],"I was pleasantly surprised by the affordable price, sleek design, and lightning-fast delivery of this washing machine.",5
Panasonic Q2-300,REFRIGERATOR,Medium,Positive,['Functionality' 'Delivery'],"The delivery was impressively fast—my unit arrived the next day in pristine condition, and the packaging kept it safe from any bumps. Once set up, the fridge’s temperature control is spot‑on, it stays quiet, and the energy‑saving mode really cuts my monthly bill. Overall, a solid purchase that delivers on both speed and performance!",5
Pottery Barn S-2100,SOFA,Medium,Negative,['Product appearance' 'Price' 'Functionality'],"The sofa looks far less luxurious than advertised, with uneven stitching and a color that fades quickly. The price is steep for the quality, and the cushions feel too firm, making it uncomfortable for long sitting sessions. Overall, it’s a disappointing purchase that doesn’t justify its cost.",2
Samsung M-3000,MICROWAVE,Small,Negative,['Delivery' 'Price' 'Functionality'],"The delivery was late, the price is outrageous, and the microwave barely heats anything, making it a total disappointment.",1
KitchenAid A-1400,AIR_CONDITIONER,Small,Positive,['Price'],"I was pleasantly surprised by how affordable this unit is, especially considering its powerful cooling performance.",5
Smeg M-1300,MICROWAVE,Small,Positive,['Functionality'],"This microwave heats my meals evenly and quickly, making it a reliable kitchen companion.",5
KitchenAid K7-800,REFRIGERATOR,Small,Negative,['Price'],I can't justify the steep price for a refrigerator that barely meets basic needs.,1
Whirlpool TQ-500,REFRIGERATOR,Medium,Positive,['Price' 'Delivery' 'Product appearance'],"The delivery was lightning fast and the package arrived in perfect condition. I love the sleek, modern look of the fridge—it fits right in with my kitchen décor. For the price, it feels like a great value, especially compared to other models I've seen.",5
Samsung M-3000,MICROWAVE,Small,Negative,['Functionality' 'Product appearance' 'Price'],"I bought this microwave hoping it would be a great addition, but its clunky interface, dull gray finish, and high price point made it a disappointing and overpriced purchase.",1
GE A-5000,AIR_CONDITIONER,Medium,Positive,['Product appearance'],"The unit has a sleek, minimalist design that fits perfectly into any modern living space. Its brushed aluminum finish and subtle color palette give it a high-end look that feels both sophisticated and understated.",5
Wayfair W-1400,WARDROBE,Medium,Positive,['Product appearance' 'Delivery'],"The wardrobe arrived faster than I expected, with a sturdy delivery that left no dents on the frame. Its sleek, minimalist design looks great in my living room and the neutral color blends perfectly with my décor. Overall, a solid choice for anyone looking for a stylish and reliable storage solution.",4
Kenmore M-1600,MICROWAVE,Small,Negative,['Functionality' 'Product appearance'],The microwave's clunky design and inconsistent heating make it a frustrating addition to my kitchen.,1
Sharp M-9000,MICROWAVE,Long,Negative,['Delivery'],"I was really disappointed with the delivery of my new microwave.
The package arrived much later than promised, and when it finally did, the cardboard was torn and the unit had a dent that made me question the care taken during shipping.
The tracking updates were vague and the courier was unresponsive when I tried to get more information.
I had to pay extra for a pickup to return it, which was frustrating and costly.
Overall, the delivery experience ruined what could have been a great product.",1
Pottery Barn W-2400,WARDROBE,Long,Positive,['Product appearance'],"I was immediately drawn to the sleek, minimalist design of this wardrobe.
The clean lines and subtle wood grain give it a modern yet timeless look that fits perfectly in my living room.
I love how the doors glide smoothly, adding a touch of luxury to my daily routine.
The color palette is neutral, which makes it easy to coordinate with any décor.
Overall, this piece is a stunning blend of style and functionality.",5
West Elm S-2600,SOFA,Medium,Positive,['Functionality' 'Product appearance'],"I love how the West Elm S-2600 blends style and practicality—its sleek design looks great in my living room while the sturdy frame keeps it comfortable for long movie nights. The cushions hold up well over time, and the neutral fabric choice makes it easy to match with any décor.",4
GE M-5000,MICROWAVE,Long,Positive,['Delivery'],"Delivery was surprisingly swift—my package arrived two days earlier than the estimated window, and the courier left the unit neatly on my doorstep.
The packaging was robust, with ample cushioning that protected the microwave from any bumps during transit.
I was pleasantly surprised to find a quick‑start guide tucked inside, which made unpacking and setting up a breeze.
The delivery personnel were courteous and even offered a quick demo on how to use the sensor cooking feature.
Overall, the delivery experience set a high bar for the rest of my purchase, and I couldn't be happier with the speed and care.",5
Smeg A-1300,AIR_CONDITIONER,Medium,Negative,['Functionality' 'Product appearance'],"I was disappointed with the performance of this air conditioner; it barely cools the room and the design looks cheap and outdated. The unit is also quite noisy and the color doesn't match the photo, making it a poor choice for a modern home.",1
Pottery Barn C-2300,CHAIR,Small,Negative,['Functionality'],"The chair's seat gives way after only a few minutes, making it unusable for anything beyond a quick sit.",1
Electrolux L3-400,REFRIGERATOR,Small,Negative,['Price' 'Delivery'],"I was shocked by how much I paid and the delivery took forever, making this a terrible experience.",1
Herman Miller B-2000,BED,Medium,Positive,['Product appearance' 'Functionality' 'Price'],"The bed’s sleek, modern look instantly elevates the room, and the sturdy frame feels like a solid investment. It’s incredibly easy to assemble, and the adjustable headrest works smoothly, giving me a comfortable and supportive sleep. Even though it’s a bit pricier than some other options, the quality and design justify every dollar.",5
IKEA C-300,CHAIR,Long,Negative,['Product appearance'],"I was really excited to try out this new chair, but the appearance alone made me reconsider. The fabric feels like cheap polyester and the color is a washed-out beige that looks nothing like the photo on the website. The stitching is uneven, with a few visible loose threads that give the whole piece a sloppy look. The metal frame is flimsy and the joints feel like they might snap at any moment, which makes the chair look even more poorly constructed. Overall, the design looks like it was rushed and doesn't match the quality I expected from a modern office chair. I can't recommend this for anyone who cares about style or durability.",1
Pottery Barn C-2300,CHAIR,Medium,Positive,['Product appearance' 'Functionality' 'Delivery'],"Arrived on time and the chair looks exactly like the photos—sleek, modern wood with a comfortable cushion that feels like a cloud. The assembly was a breeze, and the chair holds up well under daily use, making it a great addition to my living room.",5
Siemens S2-500,REFRIGERATOR,Medium,Negative,['Functionality' 'Product appearance'],"I was really disappointed with how this fridge handles basic cooling; the temperature fluctuates a lot and it takes forever to chill drinks. The stainless steel finish looks cheap and the door seal is flimsy, making it feel like a budget model rather than a premium appliance.",2
Whirlpool M-4000,MICROWAVE,Medium,Negative,['Product appearance' 'Functionality' 'Price'],"The microwave looks like a cheap plastic toy and the stainless steel finish is scratched right out of the box. It barely heats food, and the price tag feels like a scam for a subpar appliance. I expected better performance for the cost.",2
GE W-5000,WASHING_MACHINE,Medium,Negative,['Functionality'],"I bought this washing machine hoping for a quiet, efficient spin, but it keeps making a loud grinding noise and stops mid-cycle. The cycle timer is unreliable, and the machine often overflows water, making my laundry routine a nightmare.",1
KitchenAid W-1400,WASHING_MACHINE,Medium,Positive,['Functionality' 'Price' 'Product appearance'],"I was pleasantly surprised by how smoothly this washing machine runs—cycles are quiet and the load capacity fits my family’s needs perfectly. The price is a real bargain for the features it offers, and the sleek, modern look fits right in with my kitchen décor.",5
Siemens A-1900,AIR_CONDITIONER,Long,Negative,['Product appearance' 'Delivery' 'Functionality'],"I was excited to install my new air conditioner, but the experience was a nightmare from the start.
The delivery took an extra week, and when the box arrived, the unit was dented and the paint was chipped.
The appearance was far from the sleek design advertised, with a noticeable scratch across the front panel.
Once I finally set it up, the fan barely ran and the temperature control was glitchy, making the unit almost useless.
I had to call customer service twice, and they offered a partial refund but no replacement, leaving me feeling frustrated and disappointed.",1
Ashley B-1000,BED,Long,Positive,['Functionality'],"I was skeptical at first, but the functionality of this bed has completely won me over. The adjustable head and foot sections are smooth and responsive, allowing me to find the perfect angle for reading or watching TV without any fuss. The built‑in USB ports and power outlets are a game‑changer for keeping my devices charged right next to me, and the sturdy frame feels solid even after months of use. I also appreciate the quiet operation of the motor—no rattling or whining, just a gentle glide. Overall, this bed delivers on every functional promise and has turned my bedroom into a comfortable, tech‑friendly retreat.",5
Haier D2-600,REFRIGERATOR,Medium,Positive,['Price' 'Delivery'],"I was pleasantly surprised by how affordable this refrigerator is, especially considering the generous capacity it offers. The delivery arrived right on schedule, and the team handled the unit with great care, making the whole process hassle‑free. Overall, a great value for a reliable appliance.",5
IKEA C-300,CHAIR,Small,Negative,['Delivery' 'Price' 'Functionality'],"The delivery was delayed, the price was steep for such a flimsy chair, and its lack of lumbar support made it unusable.",1
