product_name,product_category,review_size,type,content,review,stars
Daewoo M-1700,MICROWAVE,Small,Positive,['Delivery'],"The delivery was extremely fast, and I was pleasantly surprised by how quickly it arrived.",5
Whirlpool TQ-500,REFRIGERATOR,Medium,Positive,['Delivery'],"The delivery was extremely efficient and well-organized. The team ensured that the Whirlpool TQ-500 refrigerator was delivered right on time, even during a busy period. I was impressed with their professionalism and attention to detail.",5
Panasonic M-7000,MICROWAVE,Long,Positive,['Functionality' 'Delivery' 'Price'],"I recently purchased the Panasonic M-7000 microwave, and I must say it has exceeded my expectations. The functionality is top-notch; it heats food evenly and quickly, which is perfect for busy mornings. The design is sleek and modern, fitting seamlessly into my kitchen. Delivery was prompt, and the price point is very reasonable for such a high-quality appliance. I would highly recommend this microwave to anyone looking for reliability and performance.",5
Siemens S2-500,REFRIGERATOR,Small,Negative,['Price' 'Delivery'],"The Siemens S2-500 refrigerator was overpriced for its size and features. The delivery took much longer than expected, which was frustrating.",1
Panasonic W-7000,WASHING_MACHINE,Small,Negative,['Price' 'Product appearance'],"I was disappointed with the Panasonic W-7000 washing machine. While it looks sleek, the price is quite high for what it offers.",2
Wayfair C-1300,CHAIR,Long,Negative,['Product appearance' 'Price' 'Functionality'],"I recently purchased the Wayfair C-1300 chair, and I must say, I'm quite disappointed. The product appearance is not as appealing as it looked in the photos; it seems a bit cheap and lacks the quality I expected. Functionality-wise, it's okay for sitting, but it doesn't offer much comfort or support. The price point was also a letdown; it feels overpriced for what you're getting. While it's functional, I wouldn't recommend it to anyone looking for a high-quality chair.",2
Philips C1-900,REFRIGERATOR,Medium,Positive,['Product appearance' 'Functionality' 'Delivery'],"I recently purchased the Philips C1-900 refrigerator, and I must say it's been a game-changer for my kitchen. The design is sleek and modern, fitting perfectly into my space. Functionality-wise, it keeps everything at the right temperature, and the storage compartments are well thought out. Delivery was also excellent; it arrived on time and in perfect condition.",5
Ashley W-900,WARDROBE,Small,Positive,['Price'],"The Ashley W-900 wardrobe is a great value for its size. I was pleasantly surprised by how affordable it was, especially considering the quality and space it offers.",5
Pottery Barn S-2100,SOFA,Medium,Positive,['Functionality'],"I absolutely love my Pottery Barn S-2100 sofa! It's incredibly comfortable and has held up beautifully over time. The functionality is top-notch, making it perfect for both lounging and entertaining guests.",5
Ashley B-1000,BED,Small,Negative,['Delivery'],"The delivery was extremely slow, taking over a week longer than expected. I was very disappointed with the service.",1
